"Neighbourhood Name","Neighbourhood Number","0 to 14 years","15 to 24 years","25 to 54 years","55 to 64 years","65 years and over","85 years and over","Average total income","Average after-tax income","Low Income Prevalence (LIM-AT) %","Average after-tax income of household","In the labour force","Employed","Unemployed","Not in the labour force","Employment rate","Unemployment rate","Total Mother Tongue","English","French","Indigenous languages","Afro-Asiatic languages","Slavic languages","Germanic languages","Greek","Indo-Iranian languages","Italic (Romance) languages","Japanese","Korean","Niger-Congo languages","Sino-Tibetan languages","Turkic languages","Single-detached house","Semi-detached house","Row house","Duplex Apt","Lowrise Apt","Highrise Apt","Year","NEIGHBOURHOOD_140"
"Tam O'Shanter-Sullivan",118,3885,3225,10675,3510,6160,1220,34200,29756,23.8,475647,12910,11730,1175,10225,50.7,9.1,27060,9480,230,0,595,370,145,485,1955,720,35,195,65,7590,60,3080,165,920,670,340,4860,2015,"Tam O'Shanter-Sullivan (118)"
"Wexford/Maryvale",119,4215,3650,11380,3940,4715,905,35047,30272,19.2,336503,14340,13055,1285,8995,55.9,9,27625,13540,300,5,1140,595,165,1190,1745,1340,30,165,85,1370,210,5290,15,360,1470,1105,1865,2015,"Wexford/Maryvale (119)"
"Clairlea-Birchmount",120,4565,3495,11940,3360,3630,660,36232,31369,19.5,350777,14195,12960,1240,7545,59.6,8.7,26320,12770,300,5,680,630,100,555,3890,975,75,85,130,1815,55,3135,1015,1045,725,1315,1965,2015,"Clairlea-Birchmount (120)"
"Oakridge",121,2865,1680,6050,1595,1655,255,26793,24247,42.6,134303,6150,5250,900,4605,48.8,14.6,13635,5665,155,15,800,150,45,110,3895,340,25,20,110,615,40,1050,140,200,440,250,3175,2015,"Oakridge (121)"
"Birchcliffe-Cliffside",122,3345,2440,9075,3520,3910,630,54360,43027,14.5,369161,12000,10945,1055,6355,59.6,8.8,21870,16600,355,5,115,525,240,210,1010,660,20,35,35,725,20,4900,425,40,880,1960,945,2015,"Birchcliffe-Cliffside (122)"
"Cliffcrest",123,2575,2145,6070,2445,2695,370,44718,36364,17.9,248846,8200,7410,795,5045,55.9,9.7,15865,10335,145,5,145,455,210,160,1590,445,25,30,35,610,40,3380,55,435,470,160,1335,2015,"Cliffcrest (123)"
"Kennedy Park",124,2775,2175,7120,2510,2550,330,30974,27439,26.3,229390,8510,7730,775,5810,54,9.1,17105,8220,155,0,570,330,75,310,1980,565,35,45,75,1000,30,1805,350,125,680,695,2835,2015,"Kennedy Park (124)"
"Ionview",125,2310,1645,6050,1720,1890,245,31383,27852,23.3,169046,6905,6295,610,4380,55.7,8.8,13610,6460,110,5,390,255,65,270,1175,325,15,25,50,595,30,1020,375,145,380,270,2880,2015,"Ionview (125)"
"Dorset Park",126,4250,3155,10485,3330,3780,790,31692,28052,22.3,251476,12735,11495,1230,7415,57.1,9.7,24395,9615,200,0,975,330,110,485,2970,575,25,40,80,2325,60,2130,335,1560,510,465,3770,2015,"Dorset Park (126)"
"Bendale",127,4550,4605,12050,3535,5250,900,33256,28953,23.4,326482,14270,13020,1255,10335,52.9,8.8,29510,12340,200,0,600,575,200,495,4135,810,60,160,65,3990,95,3870,290,325,1075,340,4850,2015,"Bendale (127)"
"Agincourt South-Malvern West",128,3075,3360,9965,3265,4105,555,31825,27928,22.6,278390,12045,10855,1185,8345,53.2,9.8,23740,7080,140,0,245,280,105,280,1705,605,40,80,50,9955,10,2790,330,515,695,610,3145,2015,"Agincourt South-Malvern West (128)"
"Agincourt North",129,3840,3705,11305,4230,6045,925,30414,26955,21.3,427037,13865,12510,1360,11130,50,9.8,28845,7070,120,5,275,125,75,145,1060,345,50,50,25,14670,20,3345,805,1440,645,735,2120,2015,"Agincourt North (129)"
"Milliken",130,3675,3195,10565,4030,5115,880,28085,25109,22.1,525507,12195,11035,1160,10185,49.3,9.5,26270,5305,60,0,140,80,30,80,755,155,20,30,15,16510,10,3900,550,610,520,95,1970,2015,"Milliken (130)"
