"Neighbourhood Name","Neighbourhood Number","0 to 14 years","15 to 24 years","25 to 54 years","55 to 64 years","65 years and over","85 years and over","Average total income","Average after-tax income","Low Income Prevalence (LIM-AT) %","Average after-tax income of household","In the labour force","Employed","Unemployed","Not in the labour force","Employment rate","Unemployment rate","Total Mother Tongue","English","French","Indigenous languages","Afro-Asiatic languages","Slavic languages","Germanic languages","Greek","Indo-Iranian languages","Italic (Romance) languages","Japanese","Korean","Niger-Congo languages","Sino-Tibetan languages","Turkic languages","Single-detached house","Semi-detached house","Row house","Duplex Apt","Lowrise Apt","Highrise Apt","Year","NEIGHBOURHOOD_140"
"Flemingdon Park",44,4385,3060,9185,2335,2980,285,28654,25608,34.7,261233,9910,8865,1050,7625,50.6,10.6,21930,6240,210,5,980,1210,95,625,6170,640,35,180,155,965,295,0,180,565,5,645,6425,2015,"Flemingdon Park (44)"
"Parkwoods-Donalda",45,5840,4680,14780,4265,5250,775,42516,35409,20.6,623453,18240,16565,1685,10645,57.3,9.2,34785,17410,545,10,1415,1305,265,580,3025,2300,90,475,180,2150,225,2555,1355,1370,125,1185,6710,2015,"Parkwoods-Donalda (45)"
"Pleasant View",46,2050,2080,6470,2020,3195,355,36346,31338,17.5,219209,8125,7315,810,5640,53.1,10,15805,4855,135,0,450,565,65,740,990,1060,50,190,35,4960,75,1010,1805,270,110,825,1475,2015,"Pleasant View (46)"
"Don Valley Village",47,4065,3280,11860,3145,4700,665,37379,31875,23.5,414411,13880,12540,1330,8885,55.1,9.6,26850,7965,235,0,825,1065,175,245,3475,1360,100,740,60,5915,280,2120,360,1415,145,305,5630,2015,"Don Valley Village (47)"
"Hillcrest Village",48,2115,2170,6060,2265,4305,630,40442,34203,21.9,298716,7930,7270,660,6870,49.1,8.3,16920,4870,130,0,250,425,180,95,1235,540,75,470,35,7265,55,1650,825,1070,155,755,1940,2015,"Hillcrest Village (48)"
"Bayview Woods-Steeles",49,1515,1635,4490,1825,3685,740,47246,38196,18.4,253036,6205,5720,495,4940,51.3,8,12740,4575,120,0,165,430,165,115,1215,475,30,620,30,3695,75,1565,495,200,100,570,1775,2015,"Bayview Woods-Steeles (49)"
"Newtonbrook East",50,1585,2185,6860,2155,3320,670,45212,36139,27.4,335768,8085,7375,710,5875,52.8,8.8,15565,4125,70,5,210,560,105,105,2610,650,60,1630,25,4020,85,2760,10,30,380,330,2590,2015,"Newtonbrook East (50)"
"Willowdale East",51,5920,6940,25850,5460,6270,830,45326,36740,30.3,572155,27075,24770,2300,17275,55.9,8.5,50290,13580,465,0,1280,1825,275,160,7500,1695,455,4630,55,14470,330,3385,65,845,250,1650,16100,2015,"Willowdale East (51)"
"Bayview Village",52,2415,2505,10310,2540,3615,610,52035,41440,23.7,354894,11885,10965,910,6845,58.5,7.7,21255,7380,200,0,380,655,140,115,2865,1060,120,1395,45,4895,130,2025,120,880,75,520,5900,2015,"Bayview Village (52)"
"Henry Farm",53,2505,2330,8045,1390,1460,135,36359,30931,29.6,202357,8605,7720,890,4600,58.5,10.3,15725,4720,145,0,870,450,60,80,2635,705,55,380,30,2605,70,495,0,435,15,80,5330,2015,"Henry Farm (53)"
"O'Connor-Parkview",54,3110,2385,7855,2650,2690,430,43907,36221,22.5,354525,9580,8620,970,5820,56,10.1,18655,11140,310,5,350,815,175,1020,1315,685,55,70,80,440,40,3030,130,145,285,1485,2395,2015,"O'Connor-Parkview (54)"
"Thorncliffe Park",55,5600,2455,9020,1665,2365,425,28875,25675,45.5,195114,8490,7415,1070,6760,48.6,12.6,20850,5060,130,0,925,660,45,300,9310,540,20,75,105,310,240,0,0,85,0,375,6660,2015,"Thorncliffe Park (55)"
"Leaside-Bennington",56,3285,2175,6455,2340,2550,400,125564,85496,6.9,841619,9145,8510,635,4215,63.7,6.9,16690,13450,290,0,90,415,220,185,270,480,55,90,10,450,30,3565,795,75,45,1420,525,2015,"Leaside-Bennington (56)"
"Broadview North",57,1470,1040,5680,1435,1865,255,44557,37018,22.6,126349,6575,6035,540,3300,61.1,8.2,11380,6215,170,5,140,990,80,1080,280,475,60,55,25,370,130,850,440,80,150,815,3325,2015,"Broadview North (57)"
"Old East York",58,1470,915,4035,1280,1520,230,53315,43038,13.5,257522,5115,4870,255,2625,62.9,5,9225,5730,135,5,55,350,80,980,225,375,35,30,10,410,30,2220,170,0,425,455,520,2015,"Old East York (58)"
"Danforth East York",59,3020,1450,7930,2135,2655,365,51846,42455,13.6,334260,9420,8770,650,4640,62.4,6.9,17105,10745,355,0,130,665,125,1305,585,785,80,65,20,1065,45,2900,1700,35,550,945,880,2015,"Danforth East York (59)"
"Woodbine-Lumsden",60,1165,675,3790,1150,1095,125,47710,39565,15.2,147462,4695,4380,310,2000,65.5,6.6,7845,5405,120,5,65,250,70,210,145,365,45,35,5,590,10,1885,325,20,285,320,610,2015,"Woodbine-Lumsden (60)"
"Taylor-Massey",61,2950,1690,7580,1750,1705,270,30430,27064,32.9,102259,7935,7030,910,4595,56.1,11.5,15495,6240,180,10,545,460,55,75,4335,580,40,160,90,530,115,600,195,185,195,240,4840,2015,"Taylor-Massey (61)"
"East End-Danforth",62,3735,2210,9990,2805,2650,310,54324,43567,18.8,304010,12120,11125,990,5170,64.3,8.2,21095,15525,385,15,290,395,210,125,1115,645,55,115,45,830,70,1770,1950,595,485,2240,2085,2015,"East End-Danforth (62)"
"The Beaches",63,3825,2075,9590,3140,2955,265,92580,67490,9.4,659192,12710,11985,725,4920,68,5.7,21530,18200,555,0,80,435,405,95,150,510,35,40,20,320,40,2590,1450,340,465,3925,640,2015,"The Beaches (63)"
"Woodbine Corridor",64,2325,1035,6165,1625,1380,170,55199,44594,15.8,240272,7270,6715,560,2835,66.4,7.7,12445,9515,325,15,105,205,125,110,275,400,50,45,20,660,25,885,1555,300,190,1810,690,2015,"Woodbine Corridor (64)"
"Greenwood-Coxwell",65,2460,1305,7240,1765,1640,200,46206,38307,19.7,216423,8245,7660,595,3670,64.2,7.2,14385,9555,265,5,125,255,125,170,725,450,50,45,25,1745,15,965,1480,335,360,2360,515,2015,"Greenwood-Coxwell (65)"
"Danforth",66,1675,920,4370,1195,1515,195,55225,43924,14.2,260052,5445,5105,340,2510,64.3,6.2,9605,6245,215,5,90,215,105,505,410,615,50,50,15,595,15,685,1240,30,215,1410,330,2015,"Danforth (66)"
"Playter Estates-Danforth",67,1150,735,3725,970,1220,195,70831,54115,13.6,194189,4680,4385,300,1815,67.6,6.4,7755,5745,160,5,55,230,105,415,95,235,40,35,5,235,30,630,580,60,200,1170,925,2015,"Playter Estates-Danforth (67)"
"North Riverdale",68,1960,1170,5490,1645,1660,140,73253,56122,10.9,318764,7160,6780,380,2575,69.6,5.3,11700,8750,195,5,45,250,140,340,110,315,50,30,15,995,15,815,1305,360,315,1460,700,2015,"North Riverdale (68)"
"Blake-Jones",69,1405,885,3605,940,895,115,48511,39515,24.5,154132,4080,3740,345,2200,59.6,8.5,7685,4955,175,0,225,115,70,215,460,230,25,20,45,690,20,495,815,370,170,795,470,2015,"Blake-Jones (69)"
"South Riverdale",70,3975,2445,15025,3120,3330,520,53803,43297,18.7,662651,16535,15470,1070,6600,66.8,6.5,27385,17745,615,20,230,450,215,120,530,705,85,70,80,4795,35,865,2390,1660,685,4195,2175,2015,"South Riverdale (70)"
"Cabbagetown-South St. James Town",71,800,1035,5855,1715,2250,305,63012,49123,20.8,301145,7275,6695,585,2925,65.6,8,11285,7935,350,5,130,335,170,40,235,460,50,105,25,535,25,160,460,630,160,1640,3375,2015,"Cabbagetown-South St. James Town (71)"
"Regent Park",72,1635,1775,5575,1100,730,50,34597,29525,42.3,103250,5660,5120,545,3375,56.6,9.6,10690,4695,240,0,585,200,35,15,1640,360,25,50,100,1105,20,5,50,505,10,735,3630,2015,"Regent Park (72)"
"Moss Park",73,1540,2060,12530,2495,1900,140,58915,45877,31.9,170813,12325,11485,845,4700,67.5,6.9,18865,11830,655,20,950,640,180,70,800,775,70,150,175,1035,55,65,135,630,110,2350,8240,2015,"Moss Park (73)"
"North St. James Town",74,2290,2265,10350,1970,1740,220,32648,28541,36.5,144164,10845,9715,1125,5225,60.4,10.4,18405,7535,385,5,1085,645,80,50,2065,885,65,295,130,850,95,5,0,100,20,575,8845,2015,"North St. James Town (74)"
"Church-Yonge Corridor",75,1260,5060,18780,3235,3010,250,53583,43039,26,443734,21855,19990,1865,7240,68.7,8.5,30915,17950,920,15,815,1300,320,85,1550,1555,160,640,100,3065,120,10,25,220,45,1280,18055,2015,"Church-Yonge Corridor (75)"
"Bay Street Corridor",76,1695,6860,13065,1760,2420,330,56526,43427,37.7,352218,15000,13455,1535,8950,56.2,10.2,25740,10610,450,5,1220,780,185,70,1635,1005,290,1120,25,6450,180,5,0,15,0,240,14800,2015,"Bay Street Corridor (76)"
"Waterfront Communities-The Island",77,3650,7840,45105,4680,4635,365,70600,54292,16.5,662333,51100,48470,2640,10885,78.2,5.2,65790,39530,1735,0,1560,2635,640,245,3700,2995,300,830,145,6760,255,255,40,560,80,535,39265,2015,"Waterfront Communities-The Island (77)"
"Kensington-Chinatown",78,1315,3350,8760,1795,2705,480,37422,31282,33.2,222404,10105,9290,825,6045,57.5,8.2,17585,8210,320,0,400,370,115,20,465,750,100,255,35,5185,30,70,215,600,245,2930,4630,2015,"Kensington-Chinatown (78)"
"University",79,565,1485,3590,650,1320,305,50757,40931,22.4,197072,4405,4035,365,1760,65.5,8.3,7070,4405,140,0,105,175,95,45,195,570,65,135,15,790,30,125,215,285,185,1410,1125,2015,"University (79)"
"Palmerston-Little Italy",80,1280,1465,7845,1260,1960,290,58071,46199,13.8,347339,9275,8640,630,3220,69.1,6.8,13815,9095,295,0,105,335,130,160,135,1990,65,90,10,820,10,355,960,295,410,3890,310,2015,"Palmerston-Little Italy (80)"
"Trinity-Bellwoods",81,1745,1630,9210,1625,2350,330,50694,40658,14.7,333954,10055,9440,610,4440,65.1,6.1,16300,9035,280,0,95,315,115,30,110,2870,65,60,5,2565,20,385,715,890,875,3385,295,2015,"Trinity-Bellwoods (81)"
"Niagara",82,2055,2415,23320,1885,1510,95,70623,54803,13.7,369683,24595,23490,1110,3795,82.7,4.5,30580,20505,755,5,525,1255,260,120,1020,2140,85,260,80,1625,95,35,110,860,315,1770,15645,2015,"Niagara (82)"
"Dufferin Grove",83,1285,1065,6680,1235,1515,175,40588,34403,18,128586,7555,6995,565,2870,67.1,7.5,11740,6630,210,5,95,315,75,80,265,2435,45,85,15,655,20,310,500,110,400,2700,1335,2015,"Dufferin Grove (83)"
"Little Portugal",84,1400,1605,9385,1325,1855,255,45737,37924,15.6,202912,10650,9965,685,3005,73,6.4,15440,9390,250,0,130,340,85,20,180,2915,50,90,25,1000,15,270,460,605,240,2835,2955,2015,"Little Portugal (84)"
"South Parkdale",85,2115,2275,12440,2475,2540,360,35207,30293,30.5,258500,13135,12020,1125,5455,64.7,8.6,20910,11625,370,10,585,1220,140,30,520,1045,40,90,70,2210,60,200,150,355,210,3280,7170,2015,"South Parkdale (85)"
"Roncesvalles",86,2300,1305,7990,1690,1680,185,50580,40926,19.9,377518,9020,8415,600,3550,66.9,6.7,14895,10100,330,0,120,1000,160,65,230,770,30,55,65,730,10,675,995,320,430,2715,1720,2015,"Roncesvalles (86)"
"High Park-Swansea",87,3540,2125,11570,2870,3800,755,71204,54872,11.1,483620,14525,13650,865,5290,68.9,6,23455,15700,500,0,200,2865,410,125,340,1210,90,175,35,475,25,2655,515,290,565,3240,3585,2015,"High Park-Swansea (87)"
"High Park North",88,2850,1890,11660,2585,3180,550,57465,45893,16.5,496958,13715,12740,970,5265,67.1,7.1,22105,13495,485,5,410,2755,365,115,485,1315,90,295,20,520,110,1370,600,130,410,1985,6515,2015,"High Park North (88)"
"Runnymede-Bloor West Village",89,2050,960,4605,1215,1245,195,71888,55942,6.9,223885,5825,5535,295,2200,69,5.1,10070,7390,210,5,150,800,120,150,65,420,25,30,10,195,15,2025,760,50,240,735,0,2015,"Runnymede-Bloor West Village (89)"
"Junction Area",90,2190,1465,7470,1750,1500,175,49709,40679,13.5,310473,8890,8390,500,3110,69.9,5.6,14090,9060,210,5,245,685,120,140,200,1315,40,65,15,620,20,740,980,565,510,2510,720,2015,"Junction Area (90)"
"Weston-Pelham Park",91,1675,1415,5275,1415,1325,150,33528,29334,20.4,127491,5965,5460,505,3455,58,8.5,11100,5185,115,10,280,165,20,85,170,3475,20,25,60,315,30,505,1220,300,210,1475,500,2015,"Weston-Pelham Park (91)"
"Corso Italia-Davenport",92,1910,1545,6930,1740,2015,300,41717,35165,13.4,304000,8310,7710,600,3890,63.2,7.2,14110,6555,165,5,85,190,80,85,185,5200,50,60,35,365,30,1240,1230,105,610,2235,0,2015,"Corso Italia-Davenport (92)"
"Dovercourt-Wallace Emerson-Junction",93,4480,3925,19790,3935,4515,595,39740,33777,17.1,594477,22330,20710,1610,9420,65.2,7.2,36355,19345,510,0,525,755,195,400,1000,7925,170,260,75,2280,70,1635,2050,1140,1135,6875,2265,2015,"Dovercourt-Wallace Emerson-Junction (93)"
"Wychwood",94,1860,1320,6420,1595,3150,880,54460,43054,16.7,239484,7875,7470,410,3510,65.6,5.2,13345,8445,230,0,175,300,155,405,130,1715,40,115,20,590,30,920,880,290,395,2080,1295,2015,"Wychwood (94)"
"Annex",95,2360,3750,15040,3480,5910,1040,112766,80138,18.3,792507,18560,17305,1250,7740,65.8,6.7,29880,20645,705,25,505,1055,495,260,785,1605,175,420,40,1540,145,645,1185,595,455,4795,8165,2015,"Annex (95)"
