"Neighbourhood Name","Neighbourhood Number","0 to 14 years","15 to 24 years","25 to 54 years","55 to 64 years","65 years and over","85 years and over","Average total income","Average after-tax income","Low Income Prevalence (LIM-AT) %","Average after-tax income of household","In the labour force","Employed","Unemployed","Not in the labour force","Employment rate","Unemployment rate","Total Mother Tongue","English","French","Indigenous languages","Afro-Asiatic languages","Slavic languages","Germanic languages","Greek","Indo-Iranian languages","Italic (Romance) languages","Japanese","Korean","Niger-Congo languages","Sino-Tibetan languages","Turkic languages","Year","NEIGHBOURHOOD_140","Total average after-tax household income"
"Bayview Village",52,2390,2225,11140,2590,3980,570,59650,48960,16.4,85300,12940,11170,1770,7000,56,13.7,22330,7245,190,0,355,640,125,170,3165,1125,135,1220,40,4875,200,2020,"Bayview Village (52)",98784.8101265823
"Henry Farm",53,2870,2360,11050,1700,1860,145,46280,39400,17.2,77000,12015,10370,1645,4955,61.1,13.7,19835,5705,145,0,795,395,25,80,3030,1020,100,310,55,3165,115,2020,"Henry Farm (53)",98784.8101265823
"O`Connor Parkview",54,2905,2180,7485,2740,3090,415,47480,40720,13.6,88000,9300,7710,1585,6205,49.7,17,18405,10625,275,0,625,720,135,925,1280,620,20,60,145,410,75,2020,"O`Connor Parkview (54)",98784.8101265823
"Thorncliffe Park",55,4975,2520,8670,1935,2300,320,46640,39880,24.2,68500,8700,7140,1560,6725,46.3,17.9,20400,5285,105,0,1285,465,30,400,7845,635,0,45,85,400,165,2020,"Thorncliffe Park (55)",98784.8101265823
"Leaside-Bennington",56,2905,2210,6080,2570,2760,345,74400,59850,5.8,191200,8925,7935,1000,4700,58.2,11.2,16540,12835,270,0,80,340,220,160,360,530,45,155,10,580,70,2020,"Leaside-Bennington (56)",98784.8101265823
"Broadview North",57,1465,920,5220,1475,1880,170,49320,41920,14.6,77400,6250,5325,920,3245,56.1,14.7,10960,5845,160,0,160,825,80,890,370,605,30,40,50,315,255,2020,"Broadview North (57)",98784.8101265823
"Old East York",58,1420,935,3735,1410,1670,225,51120,43120,8.3,102700,4960,4360,605,2780,56.3,12.2,9160,5695,120,0,75,325,80,890,235,375,30,40,0,290,25,2020,"Old East York (58)",98784.8101265823
"Danforth-East York",59,3070,1435,7545,2170,2840,370,54200,45120,9.3,104900,9430,8385,1045,4560,59.9,11.1,17065,10825,400,0,150,500,135,1145,460,795,50,50,55,1030,40,2020,"Danforth-East York (59)",98784.8101265823
"Woodbine-Lumsden",60,1290,610,3600,1140,1275,135,48200,41320,10,95700,4415,3885,530,2210,58.7,12,7920,5455,100,0,100,205,35,150,200,340,40,30,50,495,25,2020,"Woodbine-Lumsden (60)",98784.8101265823
"Taylor Massey",61,2680,1665,7140,1805,1740,160,40320,35600,17.8,69800,7830,6355,1475,4510,51.5,18.8,15020,6095,115,0,605,405,45,80,3800,750,30,105,80,290,110,2020,"Taylor Massey (61)",98784.8101265823
"East End Danforth",62,3735,2100,9995,3030,2985,230,49680,42000,11.9,96700,12405,10805,1600,5700,59.7,12.9,21845,16025,400,20,305,395,170,105,1010,755,45,130,35,715,55,2020,"East End Danforth (62)",98784.8101265823
"The Beaches",63,3660,2205,8750,3220,3685,285,70900,55200,7.9,138600,12215,10870,1345,5635,60.9,11,21510,18030,460,0,125,390,310,40,205,615,35,40,10,305,45,2020,"The Beaches (63)",98784.8101265823
"Woodbine Corridor",64,2315,1030,5765,1595,1500,130,58400,46080,11.1,102700,6745,6015,730,3145,60.8,10.8,12205,9090,370,0,230,210,95,80,275,340,30,50,15,510,35,2020,"Woodbine Corridor (64)",98784.8101265823
"Greenwood-Coxwell",65,2550,1065,6875,1750,1875,165,51700,42640,12,95400,7725,6800,925,3845,58.8,12,14120,9650,220,20,140,210,105,155,580,380,45,60,30,1335,20,2020,"Greenwood-Coxwell (65)",98784.8101265823
"Danforth",66,1535,800,4140,1175,1655,250,47880,40720,10.3,108200,5065,4460,610,2705,57.4,12,9310,6230,170,0,110,175,55,415,320,545,40,45,0,595,20,2020,"Danforth (66)",98784.8101265823
"Playter Estates-Danforth",67,1090,720,3305,1070,1490,155,57250,45080,10.7,109700,4365,3755,610,2225,57,14,7685,5550,185,0,90,225,120,380,85,320,25,50,0,150,30,2020,"Playter Estates-Danforth (67)",98784.8101265823
"North Riverdale",68,1790,1110,4720,1735,1935,160,65100,52000,8.3,127900,6345,5760,580,3160,60.6,9.1,11290,8560,200,0,65,195,130,275,110,270,30,45,0,785,0,2020,"North Riverdale (68)",98784.8101265823
"Blake-Jones",69,1260,820,3365,995,1050,110,46880,39680,15.2,95900,4000,3465,535,2215,55.8,13.4,7475,4930,140,0,230,100,40,115,310,300,50,10,40,590,30,2020,"Blake-Jones (69)",98784.8101265823
"South Riverdale",70,3930,2080,15060,3375,3370,320,66100,52400,11.7,105500,17350,15095,2255,6530,63.2,13,27810,19060,555,10,300,450,170,105,570,695,95,85,65,3555,20,2020,"South Riverdale (70)",98784.8101265823
"Cabbagetown-South St. James Town",71,900,850,5295,1845,2120,205,62300,51160,15,93100,6860,5970,885,3265,59,12.9,11020,7550,290,0,115,310,95,55,300,590,105,60,30,360,15,2020,"Cabbagetown-South St. James Town (71)",98784.8101265823
"Regent Park",72,1745,1715,6550,1485,1250,120,55150,45560,22.9,70500,6810,5620,1180,4205,51,17.3,12755,5870,275,0,700,195,35,10,1510,565,25,105,120,945,45,2020,"Regent Park (72)",98784.8101265823
"Moss Park",73,1570,2360,13050,2350,2165,100,58750,46920,23.3,75800,14405,12295,2105,5520,61.7,14.6,21490,12165,555,15,1025,725,135,35,1100,1130,110,235,210,1480,140,2020,"Moss Park (73)",98784.8101265823
"North St. James Town",74,2165,1915,10310,2240,1900,150,44480,38040,21.9,63600,10940,9030,1910,5430,55.2,17.5,18540,7535,335,0,1075,435,65,45,1905,930,80,250,70,635,155,2020,"North St. James Town (74)",98784.8101265823
"Kensington-Chinatown",78,1245,2740,9435,1890,2805,550,53850,41400,23,73200,10580,8715,1870,6290,51.6,17.7,18120,8835,310,0,390,345,105,20,595,800,90,225,15,4450,90,2020,"Kensington-Chinatown (78)",98784.8101265823
"University",79,505,840,3360,680,1050,125,56000,46160,14.6,94400,4095,3470,625,1830,58.6,15.3,6435,3845,165,0,75,130,75,35,170,555,45,105,0,695,0,2020,"University (79)",98784.8101265823
"Palmerston-Little Italy",80,1195,1345,7150,1360,2070,365,53300,44320,10.9,103900,8550,7590,960,3375,63.6,11.2,13125,8625,225,0,130,295,160,140,120,1655,40,90,10,640,45,2020,"Palmerston-Little Italy (80)",98784.8101265823
"Trinity-Bellwoods",81,1600,1355,8365,1735,2355,425,59700,47640,11,103800,9500,8290,1210,4310,60,12.7,15415,8635,285,10,135,335,145,20,135,2305,35,25,0,2195,15,2020,"Trinity-Bellwoods (81)",98784.8101265823
"Dufferin Grove",83,1210,980,6225,1175,1615,175,49480,42000,11.7,83100,7025,6020,1010,2975,60.2,14.4,11210,6695,205,0,105,230,55,25,315,1840,60,105,10,580,35,2020,"Dufferin Grove (83)",98784.8101265823
"Little Portugal",84,1500,1235,9725,1235,1795,245,60600,49440,10.8,88900,10615,9270,1345,3365,66.3,12.7,15480,9425,310,0,160,435,70,25,270,2435,45,115,0,770,50,2020,"Little Portugal (84)",98784.8101265823
"South Parkdale",85,1920,1845,11920,2420,2400,190,44720,38560,20.2,64300,12810,10595,2210,5770,57,17.3,20500,11340,340,10,690,1070,155,55,685,1155,25,75,95,1840,95,2020,"South Parkdale (85)",98784.8101265823
"Roncesvalles",86,2130,1190,7615,1785,1900,205,56400,46400,12.5,98000,8815,7820,995,3675,62.6,11.3,14615,10160,260,0,145,770,190,20,185,725,35,65,100,660,0,2020,"Roncesvalles (86)",98784.8101265823
"High Park-Swansea",87,3385,2060,10475,3020,3720,435,67600,55500,8.5,120100,13540,12035,1510,5735,62.4,11.2,22660,15385,400,0,155,2240,310,110,440,1200,105,120,0,465,45,2020,"High Park-Swansea (87)",98784.8101265823
"High Park North",88,2780,1695,11375,2665,3340,400,58950,47880,11.9,92400,13730,11925,1805,5350,62.5,13.1,21850,13450,470,0,450,2240,240,120,430,1510,85,135,10,395,120,2020,"High Park North (88)",98784.8101265823
"Runnymede-Bloor West Village",89,2005,990,4340,1375,1405,170,67400,54700,5.1,136000,5705,5145,560,2410,63.4,9.8,10125,7685,185,0,120,660,110,85,75,450,20,20,10,190,0,2020,"Runnymede-Bloor West Village (89)",98784.8101265823
"Junction Area",90,2050,1205,7200,1780,1780,175,55900,46600,8.8,96700,8700,7580,1115,3265,63.4,12.8,14015,9115,175,0,280,505,135,185,270,1240,70,25,45,430,40,2020,"Junction Area (90)",98784.8101265823
"Weston-Pelham Park",91,1565,1120,5115,1385,1485,195,36160,31880,13.1,81600,5605,4750,850,3505,52.1,15.2,10680,5535,125,10,270,135,10,65,120,2810,10,20,60,235,45,2020,"Weston-Pelham Park (91)",98784.8101265823
"Corso Italia-Davenport",92,1850,1260,6325,1665,2095,355,48880,40240,8.8,96600,7600,6740,860,3755,59.4,11.3,13200,7020,155,0,115,200,85,110,130,3920,65,30,50,200,20,2020,"Corso Italia-Davenport (92)",98784.8101265823
"Wychwood",94,1770,1125,5935,1635,2340,360,53600,44880,11.2,101600,7340,6425,915,3685,58.3,12.5,12800,8160,230,0,210,225,115,345,135,1480,35,80,25,515,25,2020,"Wychwood (94)",98784.8101265823
"Annex",95,2435,3010,14555,3505,5785,665,79800,60000,14.4,129000,18730,16560,2165,8140,61.6,11.6,29300,19630,635,0,585,1025,390,290,805,1585,195,390,35,1320,235,2020,"Annex (95)",98784.8101265823
"Casa Loma",96,1175,1060,4685,1510,2915,375,88200,66300,10.7,183400,6585,5860,725,3590,57.6,11,11350,8385,230,0,130,360,165,20,185,565,45,55,0,340,75,2020,"Casa Loma (96)",98784.8101265823
"Yonge-St. Clair",97,1310,810,5885,1620,3285,465,95500,75900,9.8,143600,7825,7160,665,3770,61.8,8.5,12905,9250,265,0,205,430,175,40,490,670,45,125,25,295,45,2020,"Yonge-St. Clair (97)",98784.8101265823
"Rosedale-Moore Park",98,2395,2030,7000,3060,5595,690,122000,85100,8.8,208600,10455,9470,985,7230,53.5,9.4,20080,14630,460,0,180,675,355,95,555,920,80,85,25,695,105,2020,"Rosedale-Moore Park (98)",98784.8101265823
"Mount Pleasant East",99,2780,1760,6895,2150,2785,280,65600,52650,8.3,132800,9330,8345,990,4255,61.4,10.6,16370,11620,265,0,175,610,175,105,440,835,50,210,0,490,40,2020,"Mount Pleasant East (99)",98784.8101265823
"Yonge-Eglinton",100,1720,1245,6140,1355,1945,200,73200,56700,10.5,119700,7590,6715,875,3100,62.8,11.5,12410,8400,225,0,115,300,170,45,370,850,90,210,0,495,80,2020,"Yonge-Eglinton (100)",98784.8101265823
"Forest Hill South",101,1360,1300,4090,1425,2675,390,90700,66700,9.8,184400,6070,5530,540,3435,58.2,8.9,10865,7910,190,0,175,350,160,25,235,425,40,35,0,360,50,2020,"Forest Hill South (101)",98784.8101265823
"Forest Hill North",102,1890,1405,4980,1705,2310,265,54800,45840,10.8,126300,7125,6300,825,3280,60.5,11.6,12290,7020,145,0,560,695,145,65,215,860,25,75,25,120,60,2020,"Forest Hill North (102)",98784.8101265823
"Lawrence Park South",103,2450,2215,5540,2160,2605,300,90900,71300,7.2,231000,7955,7175,780,4550,57.4,9.8,14955,11195,285,0,175,450,125,60,360,450,40,85,0,610,60,2020,"Lawrence Park South (103)",98784.8101265823
"Lawrence Park North",105,2965,1815,5795,1910,2180,245,81900,62400,5.6,185200,7890,7030,860,3815,60.1,10.9,14675,10890,155,0,100,370,155,125,375,610,15,130,0,915,80,2020,"Lawrence Park North (105)",98784.8101265823
"Humewood-Cedarvale",106,2135,1345,6580,1620,2180,215,53700,41200,11.2,107700,8315,7420,895,3400,63.3,10.8,13850,9445,185,0,220,330,85,165,205,1000,75,85,25,150,45,2020,"Humewood-Cedarvale (106)",98784.8101265823
"Oakwood Village",107,3075,2070,9200,2705,3665,500,43040,37600,12,85700,11445,10005,1440,6190,56.7,12.6,20710,11085,205,0,570,420,115,305,240,4060,30,105,20,550,70,2020,"Oakwood Village (107)",98784.8101265823
"Briar Hill-Belgravia",108,1910,1485,6670,2120,2380,315,43840,38120,11.5,82700,8285,7130,1155,4385,56.3,13.9,14575,5730,85,0,195,715,20,145,280,2890,25,110,45,335,75,2020,"Briar Hill-Belgravia (108)",98784.8101265823
"Caledonia-Fairbank",109,1440,1095,4545,1425,1505,210,41760,36240,10.6,87600,5630,4900,725,2945,57.1,12.9,10015,4155,80,10,80,160,0,50,225,3470,15,30,0,220,90,2020,"Caledonia-Fairbank (109)",98784.8101265823
"Keelesdale-Eglinton West",110,1620,1265,4925,1655,1935,310,40080,34920,12.5,79800,5870,4990,875,3905,51.1,14.9,11390,4700,65,0,95,140,25,35,260,4295,10,60,60,170,20,2020,"Keelesdale-Eglinton West (110)",98784.8101265823
"Rockcliffe-Smythe",111,3325,2425,9120,3270,4095,485,40360,35360,15.8,75700,10745,9220,1525,8165,48.8,14.2,22240,10520,195,0,920,1040,120,140,340,5195,20,60,135,575,80,2020,"Rockcliffe-Smythe (111)",98784.8101265823
"Beechborough-Greenbrook",112,1030,805,2650,855,925,130,36600,32000,18,69000,3105,2570,545,2120,49.2,17.6,6260,3270,35,0,195,50,10,10,160,1365,0,0,70,45,0,2020,"Beechborough-Greenbrook (112)",98784.8101265823
"Weston",113,3120,2130,8230,2520,2675,280,38800,34280,18.6,70100,9320,7700,1625,6235,49.5,17.4,18675,10885,180,0,1355,315,35,95,320,2480,0,35,360,180,0,2020,"Weston (113)",98784.8101265823
"Lambton Baby Point",114,1540,965,3220,1015,1215,165,57600,46500,12,123500,4165,3615,550,2260,56.3,13.2,7965,5375,105,0,145,735,105,45,120,455,15,30,30,105,0,2020,"Lambton Baby Point (114)",98784.8101265823
"Mount Dennis",115,2145,1635,5580,1940,1755,160,41560,36440,14.9,72800,6735,5475,1260,4170,50.2,18.7,13055,6665,95,0,525,205,45,0,220,2350,60,80,230,235,100,2020,"Mount Dennis (115)",98784.8101265823
"Steeles",116,2755,2295,8025,3465,6225,950,35080,31120,14.8,84200,9875,8045,1840,10135,40.2,18.6,22760,4735,70,0,560,145,25,235,655,265,10,80,10,13660,25,2020,"Steeles (116)",98784.8101265823
"Tam O'Shanter-Sullivan",118,3665,3125,10280,3950,6180,1135,39960,34280,14.4,80300,13270,11205,2075,10270,47.6,15.6,27210,9720,215,0,780,295,85,390,1790,685,25,155,60,6920,80,2020,"Tam O'Shanter-Sullivan (118)",98784.8101265823
"Wexford/Maryvale",119,4175,3490,11575,4345,4760,710,41640,36200,11.6,85800,14830,12445,2385,9345,51.5,16.1,28340,12650,225,0,1415,650,120,1065,2475,1200,20,140,140,1295,335,2020,"Wexford/Maryvale (119)",98784.8101265823
"Clairlea-Birchmount",120,4495,3350,11615,3715,3660,475,47200,40320,11.5,90000,14005,11925,2085,8330,53.4,14.9,26835,12420,275,0,1100,585,65,395,4385,910,75,115,140,1485,55,2020,"Clairlea-Birchmount (120)",98784.8101265823
"Oakridge",121,2565,1780,5905,1755,1700,190,35080,31520,22.5,64900,6080,4800,1280,5055,43.1,21.1,13700,5935,225,0,895,95,20,65,3140,315,35,20,140,610,40,2020,"Oakridge (121)",98784.8101265823
"Birchcliffe-Cliffside",122,3440,2425,9115,3690,4025,460,51350,43080,9.7,103000,12070,10265,1800,7190,53.3,14.9,22705,16820,315,0,190,345,195,185,1280,745,45,35,85,565,40,2020,"Birchcliffe-Cliffside (122)",98784.8101265823
"Cliffcrest",123,2510,2105,5930,2625,2950,350,45400,38840,11.1,97800,8150,6900,1250,5470,50.7,15.3,16135,9855,115,0,245,355,115,150,2060,475,20,55,90,430,25,2020,"Cliffcrest (123)",98784.8101265823
"Kennedy Park",124,2585,2110,6830,2675,2910,315,36160,31800,17,73400,8175,6665,1505,6345,45.9,18.4,17105,7615,85,0,570,260,45,265,2555,555,20,60,100,750,20,2020,"Kennedy Park (124)",98784.8101265823
"Ionview",125,2215,1550,5675,1835,2090,280,39200,34360,13.8,75400,6715,5615,1100,4435,50.4,16.4,13370,6020,95,0,565,150,50,270,1305,305,10,0,50,525,0,2020,"Ionview (125)",98784.8101265823
