"Neighbourhood Name","Neighbourhood Number","0 to 14 years","15 to 24 years","25 to 54 years","55 to 64 years","65 years and over","85 years and over","Average total income","Average after-tax income","Low Income Prevalence (LIM-AT) %","Average after-tax income of household","In the labour force","Employed","Unemployed","Not in the labour force","Employment rate","Unemployment rate","Total Mother Tongue","English","French","Indigenous languages","Afro-Asiatic languages","Slavic languages","Germanic languages","Greek","Indo-Iranian languages","Italic (Romance) languages","Japanese","Korean","Niger-Congo languages","Sino-Tibetan languages","Turkic languages","Year","NEIGHBOURHOOD_140","Total average after-tax household income"
"Oakdale-Beverley Heights",154,3795,2755,8870,2830,3150,525,37640,31280,14.4,78000,10780,8960,1820,6840,50.8,16.9,21415,10110,75,0,605,260,50,40,355,4140,10,30,655,295,135,2020,"Oakdale-Beverley Heights (154)",98784.8101265823
"Downsview-Roding-CFB",26,2555,2070,8140,2490,2715,525,45880,39720,9.6,84200,9955,8505,1445,5460,55.2,14.5,17965,7485,140,0,290,390,35,100,480,3580,0,130,55,385,340,2020,"Downsview-Roding-CFB (26)",98784.8101265823
"Bendale-Glen Andrew",156,2610,2605,7835,2225,3410,510,41360,34920,17,74900,9330,7940,1395,6740,49.4,15,18685,6935,165,0,440,285,70,180,3095,450,35,100,20,2790,30,2020,"Bendale-Glen Andrew (156)",98784.8101265823
"Bendale South",157,1610,1555,4315,1500,1755,285,36000,31920,9.7,92400,5370,4545,825,3740,49.9,15.4,10720,4770,35,0,305,210,35,260,1760,225,15,35,25,375,0,2020,"Bendale South (157)",98784.8101265823
"Islington-City Centre West",14,3430,2610,9190,3495,4740,715,69000,55350,8.5,114600,12600,10965,1640,7430,54.7,13,23465,12280,270,0,755,3330,215,105,785,1675,15,435,60,635,145,2020,"Islington-City Centre West (14)",98784.8101265823
"Etobicoke City Centre",159,2785,1930,13510,2355,3015,310,62300,50720,13.6,80300,15295,13600,1700,5520,65.4,11.1,23595,10860,230,0,640,2295,100,65,1515,2265,85,950,125,975,90,2020,"Etobicoke City Centre (159)",98784.8101265823
"Mimico-Queensway",160,2395,1325,8165,2465,2695,275,54150,45160,12.4,90900,10095,8920,1175,4560,60.9,11.6,17045,9925,255,0,250,1635,120,60,560,1200,65,95,25,1015,35,2020,"Mimico-Queensway (160)",98784.8101265823
"Humber Bay Shores",161,1700,1370,13250,2705,3565,340,75400,59150,13.5,86600,15450,13540,1910,5455,64.8,12.4,22600,11155,450,0,600,2265,200,50,1435,1910,65,220,55,1215,150,2020,"Humber Bay Shores (161)",98784.8101265823
"West Queen West",162,1125,720,9090,1120,1115,80,87700,67600,10.9,104000,9865,9120,740,2180,75.7,7.5,13170,8780,305,0,170,415,120,35,390,1065,70,30,15,680,35,2020,"West Queen West (162)",98784.8101265823
"Fort York-Liberty Village",163,1205,1325,15550,1040,795,40,78800,62100,10.3,88600,16225,14830,1390,2490,79.3,8.6,19915,11925,455,0,345,955,110,65,1250,1180,40,320,25,1080,130,2020,"Fort York-Liberty Village (163)",98784.8101265823
"Wellington Place",164,1130,3005,19565,1055,805,35,83400,64100,14,93600,21345,19685,1660,3095,80.5,7.8,25575,14335,690,0,495,895,175,125,1535,1230,115,425,35,2690,220,2020,"Wellington Place (164)",98784.8101265823
"Harbourfront-CityPlace",165,2065,2615,20360,1560,1525,145,73100,58150,14.4,87000,21900,19655,2245,4165,75.4,10.3,28130,13555,625,0,810,920,215,80,2800,1635,125,420,65,3240,145,2020,"Harbourfront-CityPlace (165)",98784.8101265823
"St Lawrence-East Bayfront-The Islands",166,2285,2590,19325,3100,3995,465,79800,61950,15.3,91800,21965,19585,2380,7040,67.5,10.8,31290,17405,875,0,890,1065,330,40,2165,1470,130,410,150,2760,170,2020,"St Lawrence-East Bayfront-The Islands (166)",98784.8101265823
"Church-Wellesley",167,895,3475,13485,2360,2105,155,53800,44160,23.3,64800,15725,13265,2455,5695,61.9,15.6,22320,10620,575,0,515,895,155,60,1710,1300,150,700,40,2955,165,2020,"Church-Wellesley (167)",98784.8101265823
"Downtown Yonge East",168,1055,2730,10340,1625,1950,165,60550,48600,22.4,76500,12140,10495,1645,4505,63.1,13.6,17695,9120,385,0,465,610,90,35,1100,840,110,445,110,2225,130,2020,"Downtown Yonge East (168)",98784.8101265823
"Bay-Cloverhill",169,745,4345,8295,1190,2115,295,52700,42400,29,72300,10415,8850,1565,5510,55.6,15,16670,6840,330,0,450,475,85,35,900,640,75,580,20,4385,90,2020,"Bay-Cloverhill (169)",98784.8101265823
"Yonge-Bay Corridor",170,970,2165,7785,875,855,60,61600,48920,24.3,77700,8620,7475,1150,3055,64,13.3,12645,4940,195,0,705,285,105,15,940,555,135,555,20,2605,60,2020,"Yonge-Bay Corridor (170)",98784.8101265823
"Junction-Wallace Emerson",171,3075,1935,12705,2560,2905,335,49640,42160,11.2,86700,14040,12070,1965,6060,60,14,23180,12620,345,10,465,445,90,105,650,4545,65,160,70,1125,80,2020,"Junction-Wallace Emerson (171)",98784.8101265823
"Dovercourt Village",172,1365,1100,6410,1530,1975,275,49080,41560,10,92300,7460,6430,1030,3555,58.4,13.8,12380,7215,185,0,115,215,75,220,230,2195,50,100,20,715,20,2020,"Dovercourt Village (172)",98784.8101265823
"North Toronto",173,1315,1425,9915,1435,1790,235,59700,49160,18.5,70900,10870,9465,1415,3695,65,13,15885,7410,260,0,365,895,120,35,1475,1675,75,450,20,765,250,2020,"North Toronto (173)",98784.8101265823
"South Eglinton-Davisville",174,2190,1690,13640,2175,3055,325,67200,53750,15.3,82100,15070,13475,1595,5475,65.6,10.6,22735,11945,445,0,460,1145,190,100,1785,2015,105,645,50,905,150,2020,"South Eglinton-Davisville (174)",98784.8101265823
